こんち(は|わ)$	こんにちは|やほー|こんちは|ども|またあんた？
おはよう|おはよー|オハヨウ	おはよ！|まだ眠い…|さっき寝たばかりだよ
こんばん(は|わ)	こんばんわ|わんばんこ|いま何時？
^(お|うい)す$	うぃっす
^やあ[、。！]*$	やっほー
バイバイ|ばいばい	ばいばい|バイバーイ|ごきげんよう
^じゃあ?ね?$|またね	またねー|じゃあまたね|また遊んでね
^どれ[？?]$	アレだよ|いま手に持ってるものだよ|それだよー
^[し知]ら[なね]	やばいー|知らなきゃまずいじゃん|知らないの？
おまえ|あんた|お前|てめえ	%match%じゃないよ！|%match%って誰のこと？|%match%なんて呼ばれても…
バカ|ばか|馬鹿	%match%じゃないもん！|%match%って言うやつが%match%なんだよ！|ぷんすか！|そんなふうに言わないでよ！
かわいい|可愛い|カワイイ|きれい|綺麗|キレイ	%match%ってホント！？ホントに！？
ブス|ぶす	まじ怒るから！|しばいたろか？|だれが%match%なのよ！
何時	眠くなった？|もう寝るの？|まだいいじゃん|もう寝なきゃ
甘い|あまい	お菓子くれるの？|あんこも好きだよ|チョコもいいね
チョコ	ギミチョコ！|よこせチョコレート！|ビターは苦手かな？|冷やすとおいしいよ|虫歯ばいばいき～ん
パンケーキ	パンケーキいいよね！|しっとり感がス・テ・キ！
グミ	すっぱーいのが好き！|たまに歯につまっちゃう
マシュマロ	そのままでもいいけど焼くのがいいな|パンに塗りたくるのもいいよね
あんこ|アンコ	アンコなら中村屋のあんぱんじゃ！|アンコ！よこせ！|あんまんもいいよね
餃子|キョーザ	食べたーい！|ぎぎぎ、ぎょうざ…|餃子のことを思うと夜も眠れません|宇都宮行ってみたい
ラーメン|らーめん	ラーメン大好きだよ♪|自分でも作るよ|あたしはしょうゆ派かな|豚骨ラーメン食べたいな～
自転車|チャリ|ちゃり	るんるんだよ|雨降っても乗ってるんだ！|電動アシストほしいな～
春	お花見したいね～|いくらでも寝てられる|春はハイキング！
夏	海！海！海！|プール！ プール！！|アイスだアイスだ！|浴衣着て花火したーい！|夏は好きですか|夏だね
秋	読書するぞー！|ブンガクの季節なのだ|温泉もいいよね|サンマ焼こうよ！
冬	お鍋大好き！|かわいいコートが欲しい！|スノボできる？|温泉へGo！
好き	夏は好きですか|好きだよ|今はロックが好き|野球が好きですか|好きな音楽は
東京	東京へ行くの|東京で遊ぼう|東京は？|東京だとどうですか|東京のどこ？
ロック	今はロックが好き
野球	野球が好きですか
寿司	お寿司が食べたいです
数学	数学の授業は終わった
授業	数学の授業は終わった
旅行	旅行に行きたい
沖縄	沖縄に行きたい|沖縄は？|沖縄で泳ぎたいよね|沖縄の水族館に行きたいね
北海道	北海道に行きたい|北海道は
水族館	沖縄の水族館に行きたいね
元気	元気ですか？
動物	動物園に行きたいね
音楽	好きな音楽は
